,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,ID
0,18.1898651832877,4050.8515625,5211.70947265625,-352.941162109375,eta_4_x,0,19.14742107560036,8385.6044921875,1975.9962158203125,-352.941162109375,eta_3_top,0,0
0,9.099476055114154,225.94854736328125,2506.003662109375,-352.941162109375,eta_1_x,0,8.308117533435079,225.94854736328125,1975.9962158203125,-352.941162109375,eta_3_top,0,1
0,5.107795273468203,225.94854736328125,1975.9962158203125,-352.941162109375,eta_1_x,0,4.668906431875231,225.94854736328125,2506.003662109375,-352.941162109375,eta_3_top,0,2
0,3.983560545647244,225.94854736328125,1975.9962158203125,-352.941162109375,eta_1_x,0,3.6706373131670373,225.94854736328125,1975.9962158203125,-352.941162109375,eta_3_top,0,3
0,3.57222039394119,225.94854736328125,1975.9962158203125,-352.941162109375,eta_1_x,0,3.346680714001651,225.94854736328125,1975.9962158203125,-352.941162109375,eta_3_top,0,4
0,4.059931106846338,225.94854736328125,2506.003662109375,-352.941162109375,eta_1_x,0,3.9285311021180043,1295.1485595703125,1975.9962158203125,-352.941162109375,eta_3_top,0,5
0,5.001738940924027,2981.6513671875,1975.9962158203125,-352.941162109375,eta_1_x,0,4.4570646073038045,2364.3486328125,2506.003662109375,-352.941162109375,eta_3_top,0,6
0,5.2825738468377885,4502.74853515625,1975.9962158203125,-352.941162109375,eta_1_x,0,4.860825742314291,4502.74853515625,2506.003662109375,-352.941162109375,eta_3_top,0,7
0,3.749960661347127,9487.2041015625,1975.9962158203125,-352.941162109375,eta_1_x,0,3.513787001322998,9487.2041015625,5247.05859375,-1071.47802734375,eta_3_bot,0,8
0,18.1898651832877,4050.8515625,5211.70947265625,-352.941162109375,eta_4_x,0,19.14742107560036,8385.6044921875,1975.9962158203125,-352.941162109375,eta_3_top,0,9
